  just opened iu,energy_spread_in_name= 11 energy_spread.in
  about to do namelist read  u= 11
 seed=    43401053
 i_sqrts=         500
 n_single_file=           1
 single_file_name=
 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
  
  ifile,grid_file= 1 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.grd                                              
  ifile,hbook_file= 1 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.hbk                                              
  
  ifile= 1  about to open ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
 ifile,nrec,ndiv= 1 542852 100
  ifile= 1  about to again open ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
 i,egev(:,i= 100 253.367020 252.726059
 i,egev(:,i= 200 252.928131 252.576355
 i,egev(:,i= 300 252.074570 253.084244
 i,egev(:,i= 400 252.890396 252.889175
 i,egev(:,i= 500 252.370880 252.697144
 i,egev(:,i= 600 252.088409 252.511948
 i,egev(:,i= 700 252.364487 252.437256
 i,egev(:,i= 800 253.062332 252.485535
 i,egev(:,i= 900 252.410233 252.698196
 i,egev(:,i= 1000 252.854736 252.724991
 i,egev(:,i= 1100 253.164886 252.577484
 i,egev(:,i= 1200 252.690659 252.773529
 i,egev(:,i= 1300 253.779388 228.055283
 i,egev(:,i= 1400 252.353638 252.703293
 i,egev(:,i= 1500 252.936996 252.846130
 i,egev(:,i= 1600 252.316055 252.470978
 i,egev(:,i= 1700 252.304688 252.726425
 i,egev(:,i= 1800 252.349670 252.998444
 i,egev(:,i= 1900 253.279068 252.658234
 i,egev(:,i= 2000 252.937119 252.504822
 i,egev(:,i= 2100 252.486191 252.947144
 i,egev(:,i= 2200 253.341507 252.813934
 i,egev(:,i= 2300 253.535172 252.684464
 i,egev(:,i= 2400 253.184601 252.710327
 i,egev(:,i= 2500 253.251602 252.650757
 i,egev(:,i= 2600 251.678909 252.679291
 i,egev(:,i= 2700 252.757370 252.641342
 i,egev(:,i= 2800 253.106827 252.971695
 i,egev(:,i= 2900 253.084320 252.148361
 i,egev(:,i= 3000 252.211456 252.882843
 i,egev(:,i= 3100 252.691238 252.798599
 i,egev(:,i= 3200 252.965591 252.848740
