  just opened iu,energy_spread_in_name= 11 energy_spread.in
  about to do namelist read  u= 11
 seed=    59604268
 i_sqrts=         500
 i_photon=           1
 n_single_file=           2
 single_file_name=
 ../ilc_0500_may05_run05_seed06/eplus_at_ip_pre_collision/pbeam_in_b590.dat                          
 ../ilc_0500_may05_run05_seed06/eplus_at_ip_pre_collision/pbeam_in_b591.dat                          
  
  ifile,grid_file= 0 ../ilc_0500_may05_run05_seed06/eplus_at_ip_pre_collision/pbeam_in_b590-591.grd                      
  ifile,hbook_file= 0 ../ilc_0500_may05_run05_seed06/eplus_at_ip_pre_collision/pbeam_in_b590-591.hbk                      
  
  ifile= 1  about to open ../ilc_0500_may05_run05_seed06/eplus_at_ip_pre_collision/pbeam_in_b590.dat                          
  ifile= 2  about to open ../ilc_0500_may05_run05_seed06/eplus_at_ip_pre_collision/pbeam_in_b591.dat                          
 ndiv,nrec,nrec_file= 200 160860 80430 80430
  ifile= 1  about to again open ../ilc_0500_may05_run05_seed06/eplus_at_ip_pre_collision/pbeam_in_b590.dat                          
 irec,egev(:,irec)= 100 252.489746 0.00000000E+00
 irec,egev(:,irec)= 200 252.462112 0.00000000E+00
 irec,egev(:,irec)= 300 252.623734 0.00000000E+00
 irec,egev(:,irec)= 400 252.711212 0.00000000E+00
 irec,egev(:,irec)= 500 252.577591 0.00000000E+00
 irec,egev(:,irec)= 600 252.664307 0.00000000E+00
 irec,egev(:,irec)= 700 252.855438 0.00000000E+00
 irec,egev(:,irec)= 800 252.711441 0.00000000E+00
 irec,egev(:,irec)= 900 252.611298 0.00000000E+00
 irec,egev(:,irec)= 1000 252.687897 0.00000000E+00
 irec,egev(:,irec)= 1100 252.682449 0.00000000E+00
 irec,egev(:,irec)= 1200 252.782669 0.00000000E+00
 irec,egev(:,irec)= 1300 252.589218 0.00000000E+00
 irec,egev(:,irec)= 1400 252.961456 0.00000000E+00
 irec,egev(:,irec)= 1500 252.632156 0.00000000E+00
 irec,egev(:,irec)= 1600 252.718903 0.00000000E+00
 irec,egev(:,irec)= 1700 252.650650 0.00000000E+00
 irec,egev(:,irec)= 1800 252.610214 0.00000000E+00
 irec,egev(:,irec)= 1900 252.374374 0.00000000E+00
 irec,egev(:,irec)= 2000 252.746414 0.00000000E+00
 irec,egev(:,irec)= 2100 252.629532 0.00000000E+00
 irec,egev(:,irec)= 2200 252.904236 0.00000000E+00
 irec,egev(:,irec)= 2300 252.637253 0.00000000E+00
 irec,egev(:,irec)= 2400 252.783997 0.00000000E+00
 irec,egev(:,irec)= 2500 252.798798 0.00000000E+00
 irec,egev(:,irec)= 2600 252.626389 0.00000000E+00
 irec,egev(:,irec)= 2700 252.791656 0.00000000E+00
 irec,egev(:,irec)= 2800 252.859604 0.00000000E+00
 irec,egev(:,irec)= 2900 252.638687 0.00000000E+00
 irec,egev(:,irec)= 3000 252.873947 0.00000000E+00
 irec,egev(:,irec)= 3100 252.562866 0.00000000E+00
 irec,egev(:,irec)= 3200 252.739410 0.00000000E+00
 irec,egev(:,irec)= 3300 252.824707 0.00000000E+00
 irec,egev(:,irec)= 3400 252.742203 0.00000000E+00
 irec,egev(:,irec)= 3500 252.820404 0.00000000E+00
 irec,egev(:,irec)= 3600 252.659485 0.00000000E+00
 irec,egev(:,irec)= 3700 252.845596 0.00000000E+00
 irec,egev(:,irec)= 3800 252.878922 0.00000000E+00
 irec,egev(:,irec)= 3900 253.022949 0.00000000E+00
 irec,egev(:,irec)= 4000 252.833664 0.00000000E+00
 irec,egev(:,irec)= 4100 253.033218 0.00000000E+00
 irec,egev(:,irec)= 4200 252.610336 0.00000000E+00
 irec,egev(:,irec)= 4300 253.196182 0.00000000E+00
 irec,egev(:,irec)= 4400 252.721283 0.00000000E+00
 irec,egev(:,irec)= 4500 252.752136 0.00000000E+00
 irec,egev(:,irec)= 4600 252.771469 0.00000000E+00
 irec,egev(:,irec)= 4700 252.662704 0.00000000E+00
 irec,egev(:,irec)= 4800 252.688126 0.00000000E+00
 irec,egev(:,irec)= 4900 252.971802 0.00000000E+00
 irec,egev(:,irec)= 5000 252.982819 0.00000000E+00
 irec,egev(:,irec)= 5100 252.773880 0.00000000E+00
 irec,egev(:,irec)= 5200 252.579636 0.00000000E+00
 irec,egev(:,irec)= 5300 252.651733 0.00000000E+00
 irec,egev(:,irec)= 5400 252.613098 0.00000000E+00
 irec,egev(:,irec)= 5500 252.746933 0.00000000E+00
 irec,egev(:,irec)= 5600 252.607040 0.00000000E+00
 irec,egev(:,irec)= 5700 252.897781 0.00000000E+00
 irec,egev(:,irec)= 5800 252.671295 0.00000000E+00
 irec,egev(:,irec)= 5900 252.856689 0.00000000E+00
 irec,egev(:,irec)= 6000 252.812073 0.00000000E+00
 irec,egev(:,irec)= 6100 253.121582 0.00000000E+00
 irec,egev(:,irec)= 6200 252.734146 0.00000000E+00
 irec,egev(:,irec)= 6300 252.634140 0.00000000E+00
 irec,egev(:,irec)= 6400 252.925415 0.00000000E+00
 irec,egev(:,irec)= 6500 252.956268 0.00000000E+00
 irec,egev(:,irec)= 6600 252.832077 0.00000000E+00
 irec,egev(:,irec)= 6700 252.730453 0.00000000E+00
 irec,egev(:,irec)= 6800 252.729172 0.00000000E+00
 irec,egev(:,irec)= 6900 252.760071 0.00000000E+00
 irec,egev(:,irec)= 7000 252.667709 0.00000000E+00
 irec,egev(:,irec)= 7100 252.864548 0.00000000E+00
 irec,egev(:,irec)= 7200 252.638779 0.00000000E+00
 irec,egev(:,irec)= 7300 252.559769 0.00000000E+00
 irec,egev(:,irec)= 7400 252.732376 0.00000000E+00
 irec,egev(:,irec)= 7500 252.816742 0.00000000E+00
 irec,egev(:,irec)= 7600 252.536926 0.00000000E+00
 irec,egev(:,irec)= 7700 253.011063 0.00000000E+00
 irec,egev(:,irec)= 7800 252.943100 0.00000000E+00
 irec,egev(:,irec)= 7900 252.937897 0.00000000E+00
 irec,egev(:,irec)= 8000 252.951157 0.00000000E+00
 irec,egev(:,irec)= 8100 252.434067 0.00000000E+00
 irec,egev(:,irec)= 8200 252.832108 0.00000000E+00
 irec,egev(:,irec)= 8300 252.746445 0.00000000E+00
 irec,egev(:,irec)= 8400 252.743042 0.00000000E+00
 irec,egev(:,irec)= 8500 252.851166 0.00000000E+00
 irec,egev(:,irec)= 8600 252.835526 0.00000000E+00
 irec,egev(:,irec)= 8700 252.711288 0.00000000E+00
